name,stars,commits
chocolate-doom/chocolate-doom,2037,4659
eclipse-paho/paho.mqtt.c,2034,892
0voice/algorithm-structure,2032,523
kaltura/nginx-vod-module,2031,809
TrungNguyen1909/qemu-t8030,2031,5040
ARM-software/arm-trusted-firmware,2024,11715
RedisGraph/RedisGraph,2017,2172
iPlug2/iPlug2,2009,8635
Ysurac/openmptcprouter,2005,1384
apple/cups,2004,1041
gsliepen/tinc,2002,2647
FluidSynth/fluidsynth,2000,2601



greatscottgadgets/ubertooth,1995,1108
open5gs/open5gs,1994,4475
TeamWin/Team-Win-Recovery-Project,1984,1543
stevengj/nlopt,1983,873
google/XNNPACK,1981,7397
ColinIanKing/stress-ng,1980,8010
pbatard/libwdi,1967,778
mackyle/sqlite,1964,13013
jgaeddert/liquid-dsp,1963,6730
rsta2/circle,1954,1622
